citekey,entry_type,title,year,doi,source_bibliographies,bibliographic_status,reading_status,pdf_status,note_path,pdf_path
bonneau2001,article,Self-adjoint Extensions of Operators and the Teaching of Quantum Mechanics,2001,10.1119/1.1328351,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/bonneau2001.md,
angelone2024,article,Classical Echoes of Quantum Boundary Conditions,2024,10.1088/1751-8121/ad7428,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/angelone2024.md,
strikwerda2004,book,Finite Difference Schemes and Partial Differential Equations,2004,10.1137/1.9780898717938,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/strikwerda2004.md,
lowdin1982,article,"Partitioning Technique, Perturbation Theory, and Rational Approximations",1982,10.1002/qua.560210105,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/lowdin1982.md,
perdewLevy1983,article,Physical Content of the Exact Kohn-Sham Orbital Energies: Band Gaps and Derivative Discontinuities,1983,10.1103/PhysRevLett.51.1884,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/perdewLevy1983.md,
shamSchluter1983,article,Density-Functional Theory of the Energy Gap,1983,10.1103/PhysRevLett.51.1888,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/shamSchluter1983.md,
luttingerKohn1955,article,Motion of Electrons and Holes in Perturbed Periodic Fields,1955,10.1103/PhysRev.97.869,docs/publications/research-monograph/references.bib,imported-unverified,reported-read-in-source-project,located-local-copy,20_references/ksdft2effmass/luttingerKohn1955.md,assets/references/ksdft2effmass/luttingerKohn1955.pdf
burt1992,article,The Justification for Applying the Effective-Mass Approximation to Microstructures,1992,10.1088/0953-8984/4/32/003,docs/publications/research-monograph/references.bib,imported-unverified,reported-read-in-source-project,located-local-copy,20_references/ksdft2effmass/burt1992.md,assets/references/ksdft2effmass/burt1992.pdf
burt1999,article,Fundamentals of Envelope Function Theory for Electronic States and Photonic Modes in Nanostructures,1999,10.1088/0953-8984/11/9/002,docs/publications/research-monograph/references.bib,imported-unverified,reported-read-in-source-project,located-local-copy,20_references/ksdft2effmass/burt1999.md,assets/references/ksdft2effmass/burt1999.pdf
foreman1993,article,Effective-Mass Hamiltonian and Boundary Conditions for the Valence Bands of Semiconductor Microstructures,1993,10.1103/PhysRevB.48.4964,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/foreman1993.md,
foreman2005,article,First-Principles Envelope-Function Theory for Lattice-Matched Semiconductor Heterostructures,2005,10.1103/PhysRevB.72.165345,docs/publications/research-monograph/references.bib,imported-unverified,unread-or-unknown,not-located,20_references/ksdft2effmass/foreman2005.md,
ermoneit2026,article,Exact Multivalley Envelope Function Theory of Valley Splitting in Si/SiGe Nanostructures,2026,10.1103/md2x-s44y,docs/publications/research-monograph/references.bib,imported-unverified,reported-read-in-source-project,located-local-copy,20_references/ksdft2effmass/ermoneit2026.md,assets/references/ksdft2effmass/ermoneit2026.pdf
